number_clusters_predicted_r1,abs_difference_r1,number_clusters_predicted_r2,abs_difference_r2,number_clusters_predicted_r3,abs_difference_r3,number_clusters_predicted_r4,abs_difference_r4,number_clusters_predicted_r5,abs_difference_r5
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
1,3,1,3,1,3,1,3,1,3
1,2,1,2,1,2,1,2,1,2
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,1,2,1,2,1
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,1,2,1,2,1
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,2,2,2,2,2,2,2,2,2
1,2,1,2,1,2,1,2,1,2
4,2,4,2,4,2,4,2,4,2
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,3,2,3,2,3,2,3,2,3
2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
1,2,1,2,1,2,1,2,1,2
3,1,3,1,3,1,3,1,3,1
1,2,1,2,1,2,1,2,1,2
4,2,4,2,4,2,4,2,4,2
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,3,2,3,2,3,2,3,2,3
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2
3,1,3,1,3,1,3,1,3,1
1,2,1,2,1,2,1,2,1,2
4,2,4,2,4,2,4,2,4,2
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,3,2,3,2,3,2,3,2,3
2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
1,2,1,2,1,2,1,2,1,2
2,2,2,2,2,2,2,2,2,2
1,2,1,2,1,2,1,2,1,2
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,3,2,3,2,3,2,3,2,3
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,1,2,1,2,1
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,3,2,3,2,3,2,3,2,3
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,1,2,1,2,1
3,3,3,3,3,3,3,3,3,3
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,3,2,3,2,3,2,3,2,3
4,0,4,0,4,0,4,0,4,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
4,0,4,0,4,0,4,0,4,0
1,2,1,2,1,2,1,2,1,2
6,0,6,0,6,0,6,0,6,0
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
4,0,4,0,4,0,4,0,4,0
2,1,2,1,2,1,2,1,2,1
7,1,7,1,7,1,7,1,7,1
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
5,1,5,1,5,1,5,1,5,1
3,0,3,0,3,0,3,0,3,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
4,0,4,0,4,0,4,0,4,0
2,1,2,1,2,1,2,1,2,1
7,1,7,1,7,1,7,1,7,1
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
4,0,4,0,4,0,4,0,4,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
3,1,3,1,3,1,3,1,3,1
3,0,3,0,3,0,3,0,3,0
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1,3,1
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
3,1,3,1,3,1,3,1,3,1
3,0,3,0,3,0,3,0,3,0
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
5,1,5,1,5,1,5,1,5,1
1,2,1,2,1,2,1,2,1,2
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
2,2,2,2,2,2,2,2,2,2
4,1,4,1,4,1,4,1,4,1
1,0,1,0,1,0,1,0,1,0
3,0,3,0,3,0,3,0,3,0
5,1,5,1,5,1,5,1,5,1
2,1,2,1,2,1,2,1,2,1
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
4,0,4,0,4,0,4,0,4,0
4,1,4,1,4,1,4,1,4,1
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
5,1,5,1,5,1,5,1,5,1
1,2,1,2,1,2,1,2,1,2
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
4,0,4,0,4,0,4,0,4,0
4,1,4,1,4,1,4,1,4,1
1,0,1,0,1,0,1,0,1,0
3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0,4,0
2,1,2,1,2,1,2,1,2,1
6,0,6,0,6,0,6,0,6,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
4,0,4,0,4,0,4,0,4,0
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
6,0,6,0,6,0,6,0,6,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1,3,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
6,0,6,0,6,0,6,0,6,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
3,2,3,2,3,2,3,2,3,2
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
6,2,6,2,6,2,6,2,6,2
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
3,1,3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
5,1,5,1,5,1,5,1,5,1
5,2,5,2,5,2,5,2,5,2
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
6,2,6,2,6,2,6,2,6,2
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
3,1,3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
4,2,4,2,4,2,4,2,4,2
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
4,2,4,2,4,2,4,2,4,2
3,1,3,1,3,1,3,1,3,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,2,3,2,3,2,3,2,3,2
2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0
6,2,6,2,6,2,6,2,6,2
5,2,5,2,5,2,5,2,5,2
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
6,2,6,2,6,2,6,2,6,2
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
3,1,3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
6,2,6,2,6,2,6,2,6,2
5,2,5,2,5,2,5,2,5,2
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,2,3,2
5,1,5,1,5,1,5,1,5,1
4,1,4,1,4,1,4,1,4,1
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
3,1,3,1,3,1,3,1,3,1
2,0,2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1,3,1
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
4,2,4,2,4,2,4,2,4,2
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
6,2,6,2,6,2,6,2,6,2
5,2,5,2,5,2,5,2,5,2
3,2,3,2,3,2,3,2,3,2
3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0,4,0
3,0,3,0,3,0,3,0,3,0
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1,3,1
1,0,1,0,1,0,1,0,1,0
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
3,1,3,1,3,1,3,1,3,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
4,1,4,1,4,1,4,1,4,1
5,1,5,1,5,1,5,1,5,1
4,1,4,1,4,1,4,1,4,1
2,1,2,1,2,1,2,1,2,1
3,0,3,0,3,0,3,0,3,0
5,1,5,1,5,1,5,1,5,1
2,1,2,1,2,1,2,1,2,1
7,1,7,1,7,1,7,1,7,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0
